,name,rating,review,ctype,hq,old,employees
0,TCS,3.9,(27.7k Reviews),Public,"Mumbai,Maharashtra + 208 more",54 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(21.1k Reviews),Public,"Dublin,Dublin + 121 more",33 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(19.4k Reviews),Private,"Teaneck,New Jersey + 72 more",28 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.8k Reviews),Public,"Mumbai,Maharashtra + 905 more",28 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.6k Reviews),Public,"Mumbai,Maharashtra + 977 more",28 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(15.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 225 more",77 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14.5k Reviews),Public,Paris + 61 more,55 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(14.2k Reviews),Public,"Noida,Uttar Pradesh + 138 more",46 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(14k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 101 more",41 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(13.2k Reviews),Public,"Pune,Maharashtra + 145 more",36 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(12.3k Reviews),Private,"New York,New York + 50 more",25 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.8k Reviews),Public,"Mumbai,Maharashtra + 883 more",29 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.5k Reviews),Public,"Gandhinagar,Gujrat + 508 more",4 years old,10k-50k employees (India)
13,L&T,4.0,(11.3k Reviews),Public,"Mumbai,Maharashtra + 438 more",84 years old,10k-50k employees (India)
14,Reliance jio,4.0,(11.2k Reviews),Public,"Navi Mumbai,Maharashtra + 803 more",15 years old,10k-50k employees (India)
15,IBM,4.1,(11k Reviews),Public,New York + 99 more,111 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(10.7k Reviews),Public,"Fremont,California + 53 more",39 years old,10k-50k employees (India)
17,Amazon,4.2,(9.9k Reviews),Private,"Seattle,Washington + 279 more",18 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(9.7k Reviews),Private,"Ahmedabad,Gujrat + 632 more",15 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.9,(7.6k Reviews),Public,"Mumbai,Maharashtra + 414 more",19 years old,10k-50k employees (India)
20,Tata Motors,4.1,(7.3k Reviews),Public,"Pune,Maharashtra + 345 more",77 years old,50k-1 Lakh employees (India)
21,Teleperformance,3.6,(7.3k Reviews),Private,Paris + 89 more,44 years old,50k-1 Lakh employees (India)
22,Bharti Airtel,4.1,(7.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 416 more",27 years old,5k-10k employees (India)
23,Reliance Industrie...,4.0,(6.8k Reviews),Public,"Navi Mumbai,Maharashtra + 336 more",49 years old,1 Lakh+ employees (India)
24,Deloitte,3.9,(5.8k Reviews),Private,"New York,New York + 102 more",177 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 344 more",77 years old,10k-50k employees (India)
26,IndusInd Bank,3.8,(5.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 468 more",28 years old,10k-50k employees (India)
27,Hinduja Global Sol...,3.9,(5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 64 more",22 years old,10k-50k employees (India)
28,Reliance Retail,4.1,(4.7k Reviews),Private,"Navi Mumbai,Maharashtra + 349 more",16 years old,1 Lakh+ employees (India)
29,WNS,3.7,(4.7k Reviews),Private,"Mumbai,Maharashtra + 18 more",26 years old,10k-50k employees (India)
30,Samsung,4.1,(4.7k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 383 more",84 years old,50k-1 Lakh employees (India)
31,Maruti Suzuki,4.1,(4.6k Reviews),Public,"New Delhi,Delhi + 335 more",39 years old,10k-50k employees (India)
32,Indian Army,4.7,(4.5k Reviews),"New Delhi,Delhi + 252 more",127 years old,1 Lakh+ employees (India),
33,DXC Technology,3.5,(4.5k Reviews),Public,Virginia + 47 more,31 years old,10k-50k employees (India)
34,Flipkart,4.1,(4.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 306 more",15 years old,10k-50k employees (India)
35,Infosys BPM,4.0,(4.1k Reviews),"Bangalore/Bengaluru,Karnataka + 34 more",20 years old,10k-50k employees (India),
36,Ericsson,4.2,(4k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India)
37,Bajaj Finserv,4.0,(3.9k Reviews),Public,Pune + 535 more,15 years old,10k-50k employees (India)
38,HSBC,4.1,(3.8k Reviews),Private,"Pune,Maharashtra + 47 more",20 years old,10k-50k employees (India)
39,Ernst & Young,3.7,(3.8k Reviews),Private,London + 55 more,20 years old,50k-1 Lakh employees (India)
40,Startek,3.6,(3.8k Reviews),"Mumbai,Maharashtra + 45 more",5 years old,1k-5k employees (India),
41,Dr. Reddy's,4.2,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 117 more",36 years old,10k-50k employees (India)
42,Conneqt Business S...,3.8,(3.7k Reviews),"Mumbai,Maharashtra + 131 more",20 years old,10k-50k employees (India),
43,Jana Small Finance...,3.9,(3.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 276 more",16 years old,10k-50k employees (India)
44,Cipla Pharmaceutic...,4.0,(3.7k Reviews),Public,"Mumbai,Maharashtra + 170 more",87 years old,10k-50k employees (India)
45,ICICI Prudential L...,4.1,(3.6k Reviews),Public,"Mumbai,Maharashtra + 363 more",22 years old,10k-50k employees (India)
46,Sutherland Global ...,3.8,(3.6k Reviews),Private,"Pittsford,New York + 32 more",36 years old,10k-50k employees (India)
47,Mphasis,3.7,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 35 more",22 years old,1k-5k employees (India)
48,Bajaj Allianz Life...,4.1,(3.4k Reviews),Private,Pune + 378 more,21 years old,10k-50k employees (India)
49,Home Credit Financ...,4.2,(3.3k Reviews),Private,Gurugram + 95 more,10 years old,10k-50k employees (India)
50,IDFC FIRST Bank,3.8,(3.3k Reviews),Public,"Mumbai,Maharashtra + 266 more",4 years old,10k-50k employees (India)
51,Lupin,4.2,(3.3k Reviews),Public,"Mumbai,Maharashtra + 117 more",54 years old,10k-50k employees (India)
52,Yes Bank,3.9,(3.3k Reviews),Public,"Mumbai,Maharashtra + 298 more",18 years old,10k-50k employees (India)
53,Asian Paints,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",80 years old,5k-10k employees (India)
54,Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",22 years old,10k-50k employees (India)
55,HDFC LIFE,4.1,(3.2k Reviews),"Mumbai,Maharashtra + 352 more",22 years old,10k-50k employees (India),
56,ITC,4.0,(3.1k Reviews),Public,"Kolkata,West Bengal + 193 more",47 years old,10k-50k employees (India)
57,Hewlett-Packard En...,4.3,(3k Reviews),Private,"Palo Alto,California + 76 more",83 years old,10k-50k employees (India)
58,NTT DATA,3.8,(3k Reviews),Private,"Chiyoda City,Tokyo + 30 more",34 years old,10k-50k employees (India)
59,Reliance Communica...,4.0,(3k Reviews),Public,"Navi Mumbai,Maharashtra + 347 more",20 years old,10k-50k employees (India)
60,Zydus Cadila,4.1,(3k Reviews),Public,"Ahmedabad, India + 122 more",70 years old,10k-50k employees (India)
61,OPPO,4.1,(2.9k Reviews),Public,"Dongguan,Guangdong + 281 more",18 years old,10k-50k employees (India)
62,Bajaj Finance,4.2,(2.9k Reviews),Private,"Pune,Maharashtra + 517 more",35 years old,1k-5k employees (India)
63,Future Group,4.2,(2.9k Reviews),Private,"Mumbai,Maharashtra + 183 more",9 years old,50k-1 Lakh employees (India)
64,Hindustan Unilever...,4.3,(2.9k Reviews),Public,"Mumbai,Maharashtra + 289 more",89 years old,10k-50k employees (India)
65,EXL Service,3.8,(2.9k Reviews),Private,"New York,New York + 27 more",23 years old,10k-50k employees (India)
66,Ujjivan Small Fina...,4.1,(2.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 323 more",5 years old,10k-50k employees (India)
67,Ashok Leyland,4.2,(2.8k Reviews),Public,"Chennai,Tamil Nadu + 167 more",74 years old,10k-50k employees (India)
